key,input,translation.english,translation.russian,definition.english,definition.russian,definition.serbian,example,synonyms,additionalInfo.partOfSpeech,additionalInfo.grammaticalGender,additionalInfo.grammaticalNumber,additionalInfo.cases.singular.nominative,additionalInfo.cases.singular.genitive,additionalInfo.cases.singular.dative,additionalInfo.cases.singular.accusative,additionalInfo.cases.singular.instrumental,additionalInfo.cases.singular.locative,additionalInfo.cases.singular.vocative,additionalInfo.cases.plural.nominative,additionalInfo.cases.plural.genitive,additionalInfo.cases.plural.dative,additionalInfo.cases.plural.accusative,additionalInfo.cases.plural.instrumental,additionalInfo.cases.plural.locative,additionalInfo.cases.plural.vocative,createdAt._seconds,createdAt._nanoseconds,updatedAt._seconds,updatedAt._nanoseconds
Bistar,,clear,ясный,"Describes something that is easily seen, understood, or free from impurities.","Описывает что-то, что легко увидеть, понять или то, что не содержит примесей.","Opisuje nešto što se može lako videti, razumeti ili što je bez nečistoća.",Voda je bistar kao suza.,"proziran, jasan, oštar",,,,,,,,,,,,,,,,,,1731661296,224000000,1731661296,224000000
Biti,,to be,быть,"To exist, to have presence or existence in a particular place or context.","существовать, иметь наличие или присутствие в каком-либо месте или контексте","postojati, imati prisustvo ili egzistenciju na nekom mestu ili u nekom kontekstu",Najvažnije je biti srećan.,"egzistirati, postojati, trajati",,,,,,,,,,,,,,,,,,,,,
Biti po starom,,to keep things as they are,оставаться по-старому,"To continue doing something in the same way as before, without changes.","Продолжать делать что-то так же, как и раньше, без изменений.","Nastaviti raditi nešto na isti način kao i pre, bez promena.",Posle rasprave odlučili smo da sve ostane po starom.,"ostati isto, zadržati postojeće stanje, ne menjati",,,,,,,,,,,,,,,,,,1731408827,153000000,1731408827,153000000
Biti tvrd na paru,,to be hard on steam,быть крепким на пару,"To be resilient or enduring under pressure or difficulty, metaphorically strong or unyielding.","быть стойким или прочным в условиях давления или трудности, метафорически сильным или непреклонным","pokazivati otpornost ili izdržljivost pod pritiskom ili u teškim uslovima, metaforički jak ili nepopustljiv","Iako su bili loši uslovi, znali su biti tvrdi na paru.","nepopustljiv, uporan, čvrst, postojan",,,,,,,,,,,,,,,,,,1731408806,82000000,1731408806,82000000
Blesava,,foolish woman,глупая женщина,A woman that behaves in a silly or foolish manner.,"женщина, ведущая себя глупо или неразумно.",žena koja se ponaša glupo ili nesmotreno.,Ona je prava blesava kad krene da se šali.,"budalasta, glupava, šaljiva",,,,,,,,,,,,,,,,,,1731661396,577000000,1731661396,577000000
Blještavost,,brightness,яркость,The quality of being bright or shining.,качество быть ярким или сияющим.,Osobina da bude svetlo ili sjajno.,Blještavost sunca je bila zaslepljujuća.,"sjaj, svetlost, sjajnost",,,,,,,,,,,,,,,,,,,,,
Bolešljivi,,Sickly,Болезненный,Inclined to be frequently ill or in poor health.,Склонный к частым болезням или плохому здоровью.,Sklon čestim bolestima ili lošem zdravlju.,Njegovo bolešljivo stanje zahteva posebnu pažnju.,"Bolestan, Klempav, Nemoćan",,,,,,,,,,,,,,,,,,,,,
Bori se,,Fight,борись,"To fight or struggle, often used to inspire someone to keep going even when faced with difficulties.","бороться или сражаться, часто используется для вдохновения кого-то продолжать, несмотря на трудности.","Boriti se ili suprotstavljati, često se koristi da inspiriše nekoga da nastavi uprkos teškoćama.","Nikada ne odustaj, bori se!","Pobedi, Trudi se, Bori",,,,,,,,,,,,,,,,,,,,,
Boriti se,,to fight,бороться,"To take part in a violent struggle, to try hard to achieve something in the face of difficulty or resistance.","Участвовать в насильственной борьбе, пытаться достичь чего-то перед лицом трудностей или сопротивления.","Učestvovati u nasilnoj borbi, truditi se da postigneš nešto suočavajući se sa teškoćama ili otporom.",Moramo se boriti za svoja prava.,"boriti, nadmetati se, suprotstavljati se, sukobljavati se",,,,,,,,,,,,,,,,,,,,,
Brisati,,to wipe,вытирать,"To clean or remove something such as dirt, marks, or liquid from a surface.","очищать или удалять что-либо, например грязь, пятна или жидкость с поверхности.","ukloniti nešto, poput prljavštine, mrlja ili tečnosti sa površine.",Moram brisati prozore danas.,"čistiti, brisnuti, uklanjati, peglati",,,,,,,,,,,,,,,,,,,,,
Bronzana,,bronze,бронза,"A metallic alloy made primarily of copper, usually with tin as the main additive.","Металлический сплав, состоящий в основном из меди, обычно с оловом в качестве основного добавления.","Metalna legura, koja se najčešće sastoji od bakra sa dodatkom kalaja.",Pehar je bio bronzanog sjaja.,"bronzani, metalni, bakreni",,,,,,,,,,,,,,,,,,,,,
Bronzirana,,Bronzed,бронзированный,An object or surface that has been given a bronze-like appearance or finish.,"Объект или поверхность, которой был придан вид или отделка под бронзу.",Predmet ili površina koja je dobila izgled ili završnu obradu od bronze.,Zid je bio bronziran za elegantniji izgled.,"bronza, bronziranje",,,,,,,,,,,,,,,,,,,,,
Cucla,,pacifier,пустышка,"A small device, usually made of rubber or plastic, for a baby to suck on, used to pacify them.","небольшое устройство, сделанное обычно из резины или пластика, чтобы ребёнок сосал его, используется для успокоения.","Mali uređaj, obično napravljen od gume ili plastike, za bebu da ga sisa, koristi se za umirivanje.","Beba plače, daj joj cuclu.","duda, flašica",,,,,,,,,,,,,,,,,,,,,
Dan deljiv,,Divisible day,делимый день,A day specifically designated for an event or activity that is divisible by some criteria.,"День, специально обозначенный для мероприятия или активности, делимый по какому-то критерию.",Dan posebne namene ili aktivnosti koji je deljiv prema nekom kriterijumu.,Sutra je dan deljiv i imamo posebne aktivnosti planirane.,"Dan podeljen, Dan raspodeljen, Rasporedni dan",,,,,,,,,,,,,,,,,,1731661367,769000000,1731661367,769000000
Davor,,Davor,Давор,A male given name of Slavic origin.,мужское имя славянского происхождения.,Muško ime slovenskog porekla.,Davor je došao na sastanak.,"Davorka, David, Danko",,,,,,,,,,,,,,,,,,,,,
Debeli,,thick,толстый,Having a larger distance between the opposite sides; of great depth or extent from one surface to the other.,"имеющий большую толщину или дистанацию между сторонами, большого размера от одной стороны до другой.","Koji ima veliku debljinu, koji je masivan.",Zidovi su vrlo debeli.,"gojazan, krupan, masan",,,,,,,,,,,,,,,,,,,,,
Deca,,children,дети,A person who is in the early stage of life and not yet an adult.,"Человеки в ранней стадии жизни, еще не взрослые.","Osobe u ranom stadijumu života, koje još nisu odrasle.",Deca se igraju u parku.,"mladi, mališani, klinci",,,,,,,,,,,,,,,,,,,,,
Delovati,,to act,действовать,To act or to take action; to have an effect,действовать или предпринимать действия; оказывать влияние,delovati ili preduzeti akciju; imati efekat,Moraš brzo delovati da sprečiš nesreću.,"raditi, ponašati se, reagovati, uticati",,,,,,,,,,,,,,,,,,,,,
Delovima,,parts,части,Elements or segments that make up a larger whole.,"Элементы или сегменты, составляющие единое целое.",Elementi ili segmenti koji čine veću celinu.,Automobil je rastavljen na delove.,"komadi, porcije, deonice",,,,,,,,,,,,,,,,,,,,,
Dirati,,to touch,трогать,To come into physical contact with something intentionally.,касаться или трогать что-либо намеренно,doći u fizički kontakt sa nečim namerno,"Ne diraj to, nije tvoje!","pipnuti, doticati, dodirnuti",,,,,,,,,,,,,,,,,,1731661490,731000000,1731661490,731000000
Dobitnik,,winner,победитель,"A person who wins something, especially through skill or effort.","человек, который что-то выиграл, особенно благодаря навыкам или усилиям.","Osoba koja je nešto osvojila, posebno veštinom ili trudom.",On je dobitnik glavne nagrade.,"pobednik, osvajač, trijumfator",,,,,,,,,,,,,,,,,,,,,
Dobro,,good,хорошо,"A concept signifying everything that is good, beneficial, or positive.","понятие, обозначающее всё хорошее, полезное или позитивное.","Pojam koji označava sve što je dobro, korisno ili pozitivno.",Sve je dobro kad se dobro svršava.,"pozitiva, vrlina, korist, dobrota",,,,,,,,,,,,,,,,,,,,,
Dodirnuti,,to touch,прикоснуться,To come into physical contact with something.,вступать в физический контакт с чем-либо.,Doći u fizički kontakt sa nečim.,"Molim te, nemoj ništa dodirnuti.","taknuti, opipati, dodirivati",,,,,,,,,,,,,,,,,,,,,
Dolazak,,Arrival,Прибытие,The act of arriving or coming to a place.,действие приезда или прихода к месту.,Čin dolaska ili stizanja na određeno mesto.,Njegov dolazak je očekivan svakog trenutka.,"stizanje, pristizanje, dolazenje",,,,,,,,,,,,,,,,,,,,,
Donositi,,to bring,приносить,To take or carry something to a place or person.,Приносить или доставлять что-то куда-то или к кому-то.,Nositi nešto do određenog mesta ili osobe.,Donosim knjige iz biblioteke.,"dovesti, prineti, dostaviti, dodati",,,,,,,,,,,,,,,,,,,,,
Doseliti,,to move in,переехать,To relocate and begin living somewhere new.,переехать и начать жить в новом месте.,Preseliti se i početi živeti na novom mestu.,Planiraju da se doseliti u Beograd sledeće godine.,"preseliti, naseliti, smestiti",,,,,,,,,,,,,,,,,,1731406502,880000000,1731406502,880000000
Dotrčati,,to run up,добежать,To run quickly towards a point or location.,бежать быстро к определенной точке или месту.,Trčati brzo ka tački ili lokaciji.,Dotrčati do kuće pre kiše.,"pritčati, utrčati, potrčati",,,,,,,,,,,,,,,,,,,,,
Dovesti,,to bring,привести,To take or guide someone or something to a particular place.,приводить кого-то или что-то в определенное место.,Dovesti nekoga ili nešto na određeno mesto.,Treba da dovedeš prijatelja na zabavu.,"doneti, privoleti, uvesti, dodati",,,,,,,,,,,,,,,,,,,,,
Dozvati,,to call,позвать,"To call or summon someone or something, typically allowing them to hear you.","позвать или вызвать кого-то или что-то, обычно чтобы они услышали вас.","Pozvati ili prizvati nekoga ili nešto, obično kako bi vas čuli.",Moram da dozovem psa pre nego što padne mrak.,"pozvati, prizvati, kontaktirati",,,,,,,,,,,,,,,,,,,,,
Drugo,,other,другое,"The other or another of two, the remaining one of a pair, the opposite to that already mentioned.",другой или другое из двух,preostali deo nečega,Ostavi jedno jelo za drugo.,"ostalo, drugacije, dodatno",,,,,,,,,,,,,,,,,,,,,
Dvojice,,two men,двое мужчин,A group or pair of two males.,группа или пара из двух мужчин.,Grupa ili par od dva muškarca.,Dvojica su ušla u sobu.,"par, dva čoveka, dva muškarca",,,,,,,,,,,,,,,,,,,,,
Džepariti,,to pickpocket,карманничать,To secretly steal money or valuables from someone's pocket or bag.,тайно воровать деньги или ценные вещи из кармана или сумки.,Tajno krasti novac ili vrednosti iz nečijeg džepa ili torbe.,Moramo biti oprezni u gužvi da nas neko ne džepari.,"krasti, džabalebariti, krađa iz džepa",,,,,,,,,,,,,,,,,,,,,
Ekipa,,team,команда,A group of people organized to work together.,"группа людей, организованных для совместной работы.",Grupa ljudi organizovana da radi zajedno.,Ekipa je pobedila na turniru.,"tim, grupa, sastav",,,,,,,,,,,,,,,,,,,,,
Ekonomska,,economic,экономический,Pertaining to the economy or economics.,относящийся к экономике или экономике.,Odnosi se na ekonomiju ili ekonomiku.,Ekonomska situacija u državi je nestabilna.,"finansijska, tržišna, poslovna",,,,,,,,,,,,,,,,,,,,,
Favorizovać,,to favor,благоприятствовать,To treat someone or something with preferential treatment.,Относиться к кому-то или чему-то с предпочтением.,Pružiti nekome ili nečemu povlašćeni tretman.,Direktor je odlučio da favorizuje jednog kandidata.,"pretpostavljati, dati prednost, preferirati",,,,,,,,,,,,,,,,,,,,,
Gađa ga flašom,,Throw a bottle at him,Бросает в него бутылкой,To propel a bottle towards someone with the intent of hitting them.,Метать бутылку в кого-то с целью попасть.,Baciti flašu prema nekome sa namerom da ga pogodi.,On često gađa flašom kada se naljuti.,"hitati flašu, baciti flašu",,,,,,,,,,,,,,,,,,1731661773,824000000,1731661773,824000000
Gojaznost,,obesity,ожирение,A condition characterized by the excessive accumulation and storage of fat in the body.,"состояние, характеризующееся чрезмерным накоплением и хранением жира в организме.",stanje karakteristično prekomernim gomilanjem i skladištenjem masnoće u telu.,Gojaznost povećava rizik od srčanih bolesti.,"prekomerna telesna težina, pretilost",,,,,,,,,,,,,,,,,,,,,
Goji se,,fatten up,полнеть,To gain weight or to fatten up,набирать вес или откармливать,Dobijati na težini ili gojiti se,On se mnogo goji otkako je prestao da vežba.,"uhraniti se, toviti se, debljati se",,,,,,,,,,,,,,,,,,,,,
Golovi,,Goals,Голы,"A score in a game or a series of scores in a sport, especially soccer.","Очки в игре или серии очков в спорте, особенно в футболе.","Poeni postignuti u igri ili seriji igara, posebno u fudbalu.",Postigli su tri gola u prvom poluvremenu.,"pogotci, poeni, rezultati",,,,,,,,,,,,,,,,,,,,,
Gomila,,pile,куча,"A large quantity of something, often messy or disorganized.","Большое количество чего-то, часто беспорядочного.","Velika količina nečega, često neorganizovanog.",Na stolu je gomila papira.,"hrpa, grupa, mnoštvo",,,,,,,,,,,,,,,,,,,,,
Gubilac,,loser,проигравший,"Someone who loses in a competition, game, or any other activity.","Человек, проигравший в соревнованиях, игре или любой другой деятельности.","Osoba koja gubi u takmičenju, igri ili bilo kojoj drugoj aktivnosti.",Uvek biva gubilac u svemu.,"gubitnik, neuspešan, nesrećnik",,,,,,,,,,,,,,,,,,,,,
Gurnuti,,to push,толкать,"To apply force to something, causing it to move away from the person or object applying the force.","приложить усилие, чтобы что-то сдвинулось от человека или предмета, прикладывающего силу.","primeniti silu na nešto, uzrokujući da se pomera od osobe ili objekta koji primenjuje silu.",On želi da gurnuti vrata.,"gurati, potisnuti, napred, tiskati",,,,,,,,,,,,,,,,,,,,,
Hrpa,,heap,куча,A large quantity or a pile of something.,Большое количество или куча чего-то.,Velika količina ili gomila nečega.,Na stolu je bila hrpa papira.,"gomila, hrpež, nagomilavanje",,,,,,,,,,,,,,,,,,,,,
Hvala,,thank you,спасибо,An expression used to show gratitude or thanks.,"выражение благодарности, спасибо","izražavanje zahvalnosti, hvala",Hvala vam na pomoći.,"zahvaljujem, blagodarim",,,,,,,,,,,,,,,,,,,,,
Hvalisav,,boastful,хвастливый,Someone who brags or is boastful.,"Человек, который хвастается или много говорит о своих достижениях.",Osoba koja se hvali ili preterano priča o svojim dostignućima.,On je vrlo hvalisav i uvek priča o svojim uspesima.,"hvalisavac, samohvalisav, razmetljiv",,,,,,,,,,,,,,,,,,,,,
Hvaljen,,praised,хваленый,"To express admiration or approval of the achievements or characteristics of a person or thing, often publicly.","выражать восхищение или одобрение достижений или характеристик человека или вещи, часто публично.","Iskazati divljenje ili odobrenje postignuća ili karakteristika osobe ili stvari, često javno.",On je hvaljen zbog svojih postignuća.,"slavljen, pohvaljen, uzvišen",,,,,,,,,,,,,,,,,,,,,
Idmičiti,,to recede,отступать,"To move away or withdraw, to create distance from a certain point or object.",двигаться назад или удаляться от какого-либо объекта или точки,"kretati se unazad ili povlačiti se, udaljavati se od određenog mesta ili objekta",Sunce odmiče ka zapadu.,"daljiti, pomerati, sklanjati",,,,,,,,,,,,,,,,,,,,,
Igrati,,to play,играть,"To engage in activity for enjoyment and recreation, rather than a serious or practical purpose.","заниматься деятельностью для удовольствия и отдыха, а не с серьезной или практической целью","učestvovati u aktivnosti za zabavu i rekreaciju, a ne iz ozbiljne ili praktične svrhe",Deca vole da igraju napolju.,"zabavljati se, plesati, glumiti",,,,,,,,,,,,,,,,,,,,,
Imati svoju računicu,,To have one's own agenda,Иметь свою собственную выгоду,"To act according to one's own plans or interests, often hidden from others.","Действовать в соответствии со своими планами или интересами, зачастую скрытыми от окружающих.","Delovati prema sopstvenim planovima ili interesima, često skrivenim od drugih.",On uvek ima svoju računicu kada ulazi u posao.,"imati sopstveni plan, voditi svoje račune, delovati prema sopstvenom interesu",,,,,,,,,,,,,,,,,,1731408905,754000000,1731408905,754000000
Ispisati se,,"To withdraw, retire","уйти в отставку, уходить",To withdraw from a company or some project; to retire.,"Уйти в отставку, покинуть компанию","Napustiti društvo ili neki projekat, povući se.","Pošto su se posvađali, odlučili su se ispisati iz projekta.","odustati, povući se, napustiti",,,,,,,,,,,,,,,,,,,,,
Isplaćen,,paid out,выплачено,Having been paid or compensated.,был выплачен или компенсирован.,Biti plaćen ili kompenzovan.,Radnik je isplaćen za svoj rad.,"platio, kompenzovao",,,,,,,,,,,,,,,,,,,,,
Istraživanje,,Research,Исследование,A systematic investigation into and study of materials and sources in order to establish facts and reach new conclusions.,Систематическое исследование или изучение материалов и источников для установления фактов и достижения новых выводов.,Sistematsko istraživanje i proučavanje materijala i izvora u cilju utvrđivanja činjenica i donošenja novih zaključaka.,Istraživanje se fokusira na društvene fenomene.,"analiza, ispitivanje, studija",,,,,,,,,,,,,,,,,,,,,
Istrčati,,to run out,выбежать,To run out of a place or to rush out quickly.,Быстро выбежать из какого-то места.,Trčati iz nekog prostora ili hitno izaći.,Istrčao je iz kuće kad je čuo vesti.,"pobeći, izjuriti, izleteti",,,,,,,,,,,,,,,,,,,,,
Izgled,,appearance,внешность,The way someone or something looks; appearance.,Вид кого-либо или чего-либо; внешность.,Način na koji neko ili nešto izgleda; izgled.,Njegov izgled je uvek besprekorno uredan.,"pojava, fizionomija, vazduh",,,,,,,,,,,,,,,,,,,,,
Izgubiti,,to lose,потерять,To fail to keep or to cease to have something that is in one's possession or control.,перестать иметь что-либо или не суметь сохранить это.,"Ne uspeti da zadržiš, izgubiti nešto što posedujes.",Ne želim da izgubim ključeve.,"prokockati, propustiti, ostati bez",,,,,,,,,,,,,,,,,,,,,
Izjaviti,,to declare,заявлять,To state or assert something formally or officially.,официально или формально заявлять что-либо.,formalno ili zvanično nešto reći ili tvrditi.,On je odlučio da izjavi svoju odluku javno.,"proglasiti, izreći, obznaniti",,,,,,,,,,,,,,,,,,,,,
Izjednačenje,,equalization,уравнивание,"The act of becoming equal or making things equal in value, level, or quantity.","Акт становления равным или сделание вещей равными по значению, уровню или количеству.","Čin postajanja jednakim ili izjednačavanja vrednosti, nivoa ili količine.",Tim je postigao izjednačenje u poslednjoj minuti utakmice.,"poravnanje, uravnoteženje, izravnanje",,,,,,,,,,,,,,,,,,,,,
Izjednačiti,,to equalize,уравнять,"To make equal, to bring to the same level or standard.",привести к общему уровню или стандарту.,"Učiniti jednakim, dovesti na isti nivo ili standard.",Ekipa je uspela da izjednači rezultat u poslednjem minutu.,"poravnati, uravnotežiti, izravnati",,,,,,,,,,,,,,,,,,,,,
Izluđivati,,to drive crazy,сводить с ума,To make someone feel annoyed or mentally disturbed to an extreme extent.,доводить кого-либо до состояния раздражения или серьезной психической нестабильности.,dovesti nekoga do stanja ekstremne iritacije ili mentalne uznemirenosti.,Prestani da me izluđuješ svojim pričama!,"izbezumljivati, ludeti, nervirati",,,,,,,,,,,,,,,,,,,,,
Izmeriti,,to measure,измерить,"To determine the size, amount, or degree of something using a standard unit or instrument.","Определить размер, количество или степень чего-либо с использованием стандартной единицы или прибора.","Odrediti veličinu, količinu ili stepen nečega koristeći standardnu jedinicu ili instrument.",Moramo izmeriti dužinu sobe pre nego što kupimo tepih.,"odmeriti, izvažiti, proceniti",,,,,,,,,,,,,,,,,,,,,
Izmišljati,,to invent,выдумывать,"To invent or fabricate something, especially with the intent to deceive.","Выдумывать или подделывать что-либо, особенно с целью обмана.","Stvarati nešto što nije istinito ili postoji, posebno s namerom da se zavara.","Nemoj izmišljati priče, reci istinu!","fabrikovati, prikazivati lažne činjenice, izmisliti",,,,,,,,,,,,,,,,,,,,,
Izneti,,to bring out,вынести,"To take something out, to bring out, to present something in public.","вынести что-то, представить что-то на публике.","izneti nešto, predstaviti nešto javno.",Moramo izneti smeće svakog utorka.,"doneti, poneti, prikazati, predstaviti",,,,,,,,,,,,,,,,,,,,,
Iznositi,,to bring out,выносить,"To bring or carry out something, often to a public place or to express an opinion.","выносить что-либо, часто в общественное место, или выражать мнение.","doneti ili preneti nešto, često na javno mesto, ili izraziti mišljenje.",Uvek pokušavam da iznosim svoje mišljenje jasno i glasno.,"donositi, preneti, izraziti, prezentovati",,,,,,,,,,,,,,,,,,,,,
Izuzetno,,exceptional,исключительный,extremely good or outstanding,"высоко оцененный, превосходный",veoma dobro ili izvanredno,Ovaj projekat je urađen izuzetno dobro.,"izvanredno, izvrsno, fantastično",,,,,,,,,,,,,,,,,,,,,
Izvor,,source,источник,"The origin or starting point of something, or a place where something is obtained.",начало или место получения чего-либо,mesto ili tačka odakle nešto potiče ili počinje,Izvor reke je duboko u planini.,"početak, vrelo, izvorište",,,,,,,,,,,,,,,,,,1731334296,674000000,1731334296,674000000
Izvući,,to pull out,извлечь,To pull or extract someone or something from a place or situation.,вытаскивать или извлекать кого-то или что-то из места или ситуации,vađenje nekoga ili nečega iz nekog mesta ili situacije,Izvuci novčanik iz torbe.,"izvući, izvaditi, izdvojiti, izvukao",,,,,,,,,,,,,,,,,,,,,
Ići kome od ruke,,to be good at something,хорошо уметь что-то делать,To do something with ease or skill.,делать что-либо с лёгкостью или умением,Raditi nešto sa lakoćom ili umećem.,"Kuvanje mu ide od ruke, kao da je rođen za to.","biti vešt, lako raditi, imati talenat",,,,,,,,,,,,,,,,,,1731408841,335000000,1731408841,335000000
Kako urličemo,,How we roar,Как мы рычим,"To emit a loud and continuous sound in a manner characteristic of certain animals, or metaphorically, to express strong emotions loudly.","Издавать громкий и непрекращающийся звук, как это делают некоторые животные, или метафорически, выражать сильные эмоции громко.","Ispustiti glasan i kontinuiran zvuk na način karakterističan za neke životinje ili metaforički, izraziti jake emocije glasno.",Sada ćemo pokazati kako urličemo na koncertu!,"urlati, vrištati, drečati",,,,,,,,,,,,,,,,,,1731661680,355000000,1731661680,355000000
Keve mi,,I swear,клянусь,"An expression used to swear or assert truthfulness, often in a casual manner.","выражение, используемое, чтобы поклясться или подтвердить правдивость, часто в неформальной обстановке.","Izraz kojim se zaklinje na istinitost nečega, često u ležernom razgovoru.","Keve mi, nisam ja kriv!","zaklinjem se, majke mi, časna reč",,,,,,,,,,,,,,,,,,1731661643,291000000,1731661643,291000000
Kirija,,rent,арендная плата,A payment made periodically by a tenant to a landlord for the use of land or property.,регулярная плата арендатором арендодателю за использование земли или имущества.,Periodična uplata koju stanar daje vlasniku za korišćenje zemlje ili imovine.,Moram da platim kiriju svakog meseca.,"najamnina, zakupnina, stanarina",,,,,,,,,,,,,,,,,,,,,
Klinac,,kid,пацан,A young boy or child.,Молодой мальчик или ребенок.,Mladi dečak ili dete.,Klinac igra fudbal svaki dan.,"dečak, momak, dečko",,,,,,,,,,,,,,,,,,1731661300,245000000,1731661300,245000000
Korisni,,useful ones,полезные,The quality of being useful or beneficial.,качество быть полезным или выгодным,osobina biti koristan ili od koristi,Korisni alati su neophodni za obavljanje posla.,"koristan, podesan, delotvoran",,,,,,,,,,,,,,,,,,,,,
Korist,,benefit,польза,The advantage or profit gained from something.,"Преимущество или выгода, получаемая от чего-либо.",Prednost ili dobit ostvarena iz nečega.,Ovaj projekat donosi veliku korist za zajednicu.,"dobitak, prednost, valjanost",,,,,,,,,,,,,,,,,,,,,
Kretanje,,movement,движение,The act or process of changing place or position.,акт или процесс изменения места или положения.,Akt ili proces promene mesta ili položaja.,Kretanje planeta u Sunčevom sistemu je fascinantno.,"pokret, pomeranje, premeštanje",,,,,,,,,,,,,,,,,,,,,
